Variable,Value,Min,Max,Assumption,Calibrated Output,Climate Impact Parameter,Discrete Outflow,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Output,Parameter,Policy,Unit
"Energy investments.historical cost adjustment[1, Coal energy conversion, 7]",0.617425791874819,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Coal energy conversion, 8]",0.498637618809006,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Coal energy conversion, 9]",0.484051290176034,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil fuel extraction, 1]",0.106743635398227,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil fuel extraction, 2]",0.0903712436821014,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil fuel extraction, 3]",0.105595683490499,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil fuel extraction, 4]",0.117249778031264,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil fuel extraction, 5]",0.101121584363454,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil fuel extraction, 6]",0.12358903797902,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil fuel extraction, 7]",0.119499247402166,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil fuel extraction, 8]",0.122298165326987,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil fuel extraction, 9]",0.160147743357501,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil energy conversion, 1]",0.0973014328320194,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil energy conversion, 2]",0.0813988774325402,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil energy conversion, 3]",0.0969212916913669,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil energy conversion, 4]",0.10973844319488,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil energy conversion, 5]",0.0817680342230103,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil energy conversion, 6]",0.133533505083865,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil energy conversion, 7]",0.150513157079381,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil energy conversion, 8]",0.120342242683728,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Oil energy conversion, 9]",0.139482518705194,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas fuel extraction, 1]",0.310426569752346,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas fuel extraction, 2]",0.302629414590604,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas fuel extraction, 3]",0.295171467516595,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas fuel extraction, 4]",0.367254071622624,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas fuel extraction, 5]",0.333196190310252,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas fuel extraction, 6]",0.321642602870021,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas fuel extraction, 7]",0.307057547837492,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas fuel extraction, 8]",0.318741884384207,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas fuel extraction, 9]",0.363322558924885,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas energy conversion, 1]",0.271773143794298,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas energy conversion, 2]",0.300526390829011,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas energy conversion, 3]",0.283874177968931,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas energy conversion, 4]",0.38485366310613,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas energy conversion, 5]",0.352240524757277,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas energy conversion, 6]",0.346612940404098,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas energy conversion, 7]",0.325576454522977,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas energy conversion, 8]",0.360881384873027,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Gas energy conversion, 9]",0.440823716181988,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Hydropower, 1]",1.20533285183729,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Hydropower, 2]",1.00774561112128,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Hydropower, 3]",1.01064668992287,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Hydropower, 4]",1.29645572088451,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Hydropower, 5]",0.962265910516414,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Hydropower, 6]",0.561623864703614,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Hydropower, 7]",0.40521391005127,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Hydropower, 8]",0.334006601228682,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Hydropower, 9]",0.371334913534304,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Nuclear, 1]",0.260935303644196,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Nuclear, 2]",0.380832851859967,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Nuclear, 3]",0.443719805022886,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Nuclear, 4]",0.566944799924545,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Nuclear, 5]",0.719957815322374,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Nuclear, 6]",0.55238371824729,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Nuclear, 7]",0.52002271980234,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Nuclear, 8]",0.505881689720639,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Nuclear, 9]",0.521757027032862,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Bio, 1]",0.491204845411585,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Bio, 2]",0.510604250735145,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Bio, 3]",0.702359609014621,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Bio, 4]",0.79555896659318,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Bio, 5]",0.796315542050132,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Bio, 6]",0.375666436863034,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Bio, 7]",0.374804002024867,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Bio, 8]",0.412662098150831,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Bio, 9]",0.431450653177863,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Solar, 1]",0.506134604428092,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Solar, 2]",0.463885536323176,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Solar, 3]",0.493306368709536,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Solar, 4]",0.23985564194717,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Solar, 5]",0.168044908595115,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Solar, 6]",0.238380732663824,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Solar, 7]",0.221402018731376,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Solar, 8]",0.163160685145769,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Solar, 9]",0.150799496670872,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Wind, 1]",0.464207513977874,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Wind, 2]",0.473685438371917,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Wind, 3]",0.432335547248651,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Wind, 4]",0.416838694278498,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Wind, 5]",0.135022991875322,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Wind, 6]",0.134484632803659,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Wind, 7]",0.118999539676596,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Wind, 8]",0.161459506029771,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment[1, Wind, 9]",0.117246451326717,0.05,4,,,,,,,1,,,,,
"Energy investments.historical cost adjustment smoothing time[1]",0.5,0.25,0.75,,,,,,,1,,,,,
"Energy investments.initial perceived marginal energy supply cost[1]",0.013519257868552,0.001,0.05,,,,,,,1,,,,,
"Energy investments.initial relative supply missmatch[1]",0.0119480789089314,-0.5,0.5,,,,,,,1,,,,,
"Energy investments.priority spread[1]",33.4346914588317,10,50,,,,,,,1,,,,,
"Energy investments.Relative Energy Supply Mismatch Buffer[1]",0.01,0,0.05,,,,,,,1,,,,,
"Energy investments.sensitivity of cost adjustment to relative stranded capital[1]",99.307746077223,50,150,,,,,,,1,,,,,
"Energy investments.sensitivity of effect of perceived marginal energy supply cost on investment[1]",0.158464377889841,0,1,,,,,,,1,,,,,
"Energy investments.shape",1,1,3,,,,,,,1,1,,,,
"Energy investments.time to consider stranded capital[1]",3,2,5,,,,,,,1,,,,,
"Energy investments.time to perceive energy supply missmatch[1]",1,0.25,5,1,,,,,,,,,,,
"Energy investments.time to percieve changes in energy investment allocation",2,1,3,1,,,,,,,,,,,
"Energy supply.deltaEnergy for costs",1,,,1,,,,,,,1,,,,
"Damages.Exponent of Capital Damage Function[1]",2,1,3,,,1,,,,1,,,,,
"Damages.Slope of Capital Damage Function[1]",0.00005096093,0,8,,,1,,,,1,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[1]",-0.407126228444412,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[2]",-0.229766304374549,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[3]",-0.190904733633678,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[4]",-0.189123473947968,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[5]",-0.209094590871446,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[6]",-0.247043959895657,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[7]",-0.30357893400914,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[8]",-0.382832340951916,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[9]",-0.495130261475057,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[10]",-0.670254286631823,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency quadratic[11]",-1.09012668887368,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[1]",-1.32875390718424,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[2]",-1.29639928010225,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[3]",-1.15719791006752,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[4]",-0.981080373519247,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[5]",-0.77389568675414,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[6]",-0.531555787650561,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[7]",-0.243740395474872,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[8]",0.108760865774409,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[9]",0.56544255293754,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[10]",1.2332542580423,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on hydropower energy capacity efficiency slope[11]",2.74922917975556,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[1]",-0.126557218415566,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[2]",-0.368775509702206,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[3]",-0.449970308380716,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[4]",-0.492959563922859,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[5]",-0.518519726782742,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[6]",-0.534051964363173,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[7]",-0.542853544502395,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[8]",-0.546420287346117,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[9]",-0.544969883994093,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[10]",-0.536587732593534,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal power energy capacity efficiency quadratic[11]",-0.505345691917303,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[1]",-5.53321953923659,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[2]",-4.31649781851163,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[3]",-3.77079072826413,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[4]",-3.37658899626006,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[5]",-3.04227890855339,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[6]",-2.73101302765579,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[7]",-2.42007455817904,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[8]",-2.0877226912241,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[9]",-1.70160615128931,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[10]",-1.1855510481532,,,,,1,,,1,,,,,,
"Efficiency reduction in power plants.effect of STA on river cooled thermal powerplant energy capacity efficiency slope[11]",-0.11060962778405,,,,,1,,,1,,,,,,
"Fossil energy coal.carbon intensity in btu[1]",0.0268283966298724,0.01,0.03,,,,,,,1,,,,,
"Fossil energy coal.cumulative extracted fossil fuels in 1980",97.22,,,,,,,,1,,,,,,
"Fossil energy coal.depreciation rate of fossil energy capital[1]",0.025,0,0.05,1,,,,,,,,,,,
"Fossil energy coal.Depreciation rate of Fuel Extraction Capital[1]",0.05,0,0.1,1,,,,,,,,,,,
"Fossil energy coal.drain time",1,,,1,,,,,,,,,,,
"Fossil energy coal.Elasticity of Substitution in Fossil Energy Output[1]",0.3,0.2,0.4,1,,,,,,,,,,,
"Fossil energy coal.Exponent of cost curve",4,,,1,,,,,,,,,,,
"Fossil energy coal.Fossil Energy Capital Orders of Mag Scale",1e-12,,,1,,,,,,,,,,,
"Fossil energy coal.Fossil Energy Capital Scaling Parameter[1]",0.53999286900611,0.2,2,,,,,,,1,,,,,
"Fossil energy coal.Initial extraction costs[1]",112986924437.916,10000000000,1000000000000,,,,,,,1,,,,,
"Fossil energy coal.initial fossil energy capital[1]",606304812595.07,1000000000,5000000000000,,,,,,,1,,,,,
"Fossil energy coal.initial fossil extraction knowledge[1]",98.1885756675626,90,160,,,,,,,1,,,,,
"Fossil energy coal.initial fossil fuel extraction capital[1]",1605647005806.59,1000000000,50000000000000,,,,,,,1,,,,,
"Fossil energy coal.learning elasticity of the resource sector[1]",0.4,0.2,0.6,1,,,,,,,,,,,
"Fossil energy coal.learning time in resource sector[1]",30.49493995,20,40,1,,,,,,,,,,,
"Fossil energy coal.maximum increase of capital coefficient in fossil resource sector[1]",256.08,200,300,1,,,,,,,,,,,
"Fossil energy coal.PM per fuel extracted[1]",146.869258181566,100,350,,,,,,,1,,,,,
"Fossil energy coal.Primary Fossil Energy Scaling Parameter[1]",1.890483806,0.1,3,,,,,,,1,,,,,
"Fossil energy coal.productivity per extractionknowledge[1]",0.00154687602919208,0.0001,0.003,,,,,,,1,,,,,
"Fossil energy coal.reference formation time[1]",48.2946331956694,15,100,,,,,,,1,,,,,
"Fossil energy coal.Resource base",796.0739956,,,,,,,,1,,,,,,
"Fossil energy coal.sensitivity of effect of capital to fuel ratio on stranded capital[1]",1.20296666760254,0.5,5,,,,,,,1,,,,,
"Fossil energy coal.share of primary energy in fossil energy[1]",0.5,0.4,0.6,1,,,,,,,,,,,
"Fossil energy coal.share of thermal power in secondary fossil energy",0.57,,,,,,,,1,,,,,,
"Fossil energy coal.share of thermal powerplants that are cooled by rivers",0.702,,,,,,,,1,,,,,,
"Fossil energy coal.Slope of cost curve[1]",1120004233275.19,70000000000,7000000000000,,,,,,,1,,,,,
"Fossil energy coal.TFP in 1980[1]",0.148,0.12,0.4,,,,,,,1,,,,,
"Fossil energy coal.TFP Max[1]",0.185,0.1,0.4,1,,,,,,1,,,,,
"Fossil energy coal.TFP Max Ramp Year[1]",2014.19595799873,2000,2200,,,,,,,1,,,,,
"Fossil energy coal.TFP Ramp Speed[1]",0.0961352133314515,0,1,,,,,,,1,,,,,
"Fossil energy coal.TFP Slope Start[1]",1980.10935406248,1980,2010,,,,,,,1,,,,,
"Fossil energy coal.time to strand capital[1]",2,1,3,,,,,,,1,,,,,
"Fossil energy gas.carbon intensity in btu[1]",0.0155921398451567,0.01,0.03,,,,,,,1,,,,,
"Fossil energy gas.cumulative extracted fossil fuels in 1980",12.92,,,,,,,,1,,,,,,
"Fossil energy gas.depreciation rate of fossil energy capital[1]",0.025,0,0.05,1,,,,,,,,,,,
"Fossil energy gas.Depreciation rate of Fuel Extraction Capital[1]",0.05,0,0.1,1,,,,,,,,,,,
"Fossil energy gas.drain time",1,,,1,,,,,,,,,,,
"Fossil energy gas.Elasticity of Substitution in Fossil Energy Output[1]",0.3,0.2,0.4,1,,,,,,,,,,,
"Fossil energy gas.Exponent of cost curve",4,,,1,,,,,,,,,,,
"Fossil energy gas.Fossil Energy Capital Orders of Mag Scale",1e-12,,,1,,,,,,,,,,,
"Fossil energy gas.Fossil Energy Capital Scaling Parameter[1]",0.602129498440882,0.001,2,,,,,,,1,,,,,
"Fossil energy gas.Initial extraction costs[1]",133346221583.493,10000000000,1000000000000,,,,,,,1,,,,,
"Fossil energy gas.initial fossil energy capital[1]",316121627747.096,1000000000,5000000000000,,,,,,,1,,,,,
"Fossil energy gas.initial fossil extraction knowledge[1]",125.085622176257,90,160,,,,,,,1,,,,,
"Fossil energy gas.initial fossil fuel extraction capital[1]",1787846671447.9,1000000000,50000000000000,,,,,,,1,,,,,
"Fossil energy gas.learning elasticity of the resource sector[1]",0.4,0.2,0.6,1,,,,,,,,,,,
"Fossil energy gas.learning time in resource sector[1]",30.49493995,20,40,1,,,,,,,,,,,
"Fossil energy gas.maximum increase of capital coefficient in fossil resource sector[1]",256.08,200,300,1,,,,,,,,,,,
"Fossil energy gas.PM per fuel extracted[1]",0.0915252565640294,0.01,6,,,,,,,1,,,,,
"Fossil energy gas.Primary Fossil Energy Scaling Parameter[1]",1.12013244,0.001,2,,,,,,,1,,,,,
"Fossil energy gas.productivity per extractionknowledge[1]",0.000462329288946041,0.0001,0.003,,,,,,,1,,,,,
"Fossil energy gas.reference formation time[1]",53.3700310430715,15,100,,,,,,,1,,,,,
"Fossil energy gas.Resource base",166.4593679,,,,,,,,,1,,,,,
"Fossil energy gas.sensitivity of effect of capital to fuel ratio on stranded capital[1]",1.50019049038747,0.5,5,,,,,,,1,,,,,
"Fossil energy gas.share of primary energy in fossil energy[1]",0.5,0.4,0.6,1,,,,,,,,,,,
"Fossil energy gas.share of thermal power in secondary fossil energy",0.41,,,,,,,,1,,,,,,
"Fossil energy gas.share of thermal powerplants that are cooled by rivers",0.702,,,,,,,,1,,,,,,
"Fossil energy gas.Slope of cost curve[1]",129688377071.244,70000000000,7000000000000,1,,,,,,,,,,,
"Fossil energy gas.TFP in 1980[1]",0.241551023,0.12,0.4,,,,,,,1,,,,,
"Fossil energy gas.TFP Max[1]",0.295,0.1,0.4,1,,,,,,1,,,,,
"Fossil energy gas.TFP Max Ramp Year[1]",2012.31779648327,2000,2200,,,,,,,1,,,,,
"Fossil energy gas.TFP Ramp Speed[1]",0.140326764089777,0,1,,,,,,,1,,,,,
"Fossil energy gas.TFP Slope Start[1]",1980.11622192939,1980,2010,,,,,,,1,,,,,
"Fossil energy gas.time to strand capital[1]",2,1,3,,,,,,,1,,,,,
"Fossil energy oil.carbon intensity in btu[1]",0.0195554682948381,0.01,0.03,,,,,,,1,,,,,
"Fossil energy oil.cumulative extracted fossil fuels in 1980",49.77,,,,,,,,1,,,,,,
"Fossil energy oil.depreciation rate of fossil energy capital[1]",0.025,0,0.05,1,,,,,,,,,,,
"Fossil energy oil.Depreciation rate of Fuel Extraction Capital[1]",0.05,0,0.1,1,,,,,,,,,,,
"Fossil energy oil.drain time",1,,,1,,,,,,,,,,,
"Fossil energy oil.Elasticity of Substitution in Fossil Energy Output[1]",0.3,0.2,0.4,1,,,,,,,,,,,
"Fossil energy oil.Exponent of cost curve",4,,,1,,,,,,,,,,,
"Fossil energy oil.Fossil Energy Capital Orders of Mag Scale",1e-12,,,1,,,,,,,,,,,
"Fossil energy oil.Fossil Energy Capital Scaling Parameter[1]",0.400423072253559,0.001,2,,,,,,,1,,,,,
"Fossil energy oil.Initial extraction costs[1]",128982166985.646,10000000000,1000000000000,,,,,,,1,,,,,
"Fossil energy oil.initial fossil energy capital[1]",1540479930002.83,1000000000,5000000000000,,,,,,,1,,,,,
"Fossil energy oil.initial fossil extraction knowledge[1]",151.806293376611,90,160,,,,,,,1,,,,,
"Fossil energy oil.initial fossil fuel extraction capital[1]",6040472706270.08,1000000000,50000000000000,,,,,,,1,,,,,
"Fossil energy oil.learning elasticity of the resource sector[1]",0.4,0.2,0.6,1,,,,,,,,,,,
"Fossil energy oil.learning time in resource sector[1]",30.49493995,20,40,1,,,,,,,,,,,
"Fossil energy oil.maximum increase of capital coefficient in fossil resource sector[1]",256.08,200,300,1,,,,,,,,,,,
"Fossil energy oil.PM per fuel extracted[1]",85.3513009046642,2,100,,,,,,,1,,,,,
"Fossil energy oil.Primary Fossil Energy Scaling Parameter[1]",1.999999587,0.001,2.99999958734975,,,,,,,1,,,,,
"Fossil energy oil.productivity per extractionknowledge[1]",0.000310398513781438,0.0001,0.003,,,,,,,1,,,,,
"Fossil energy oil.reference formation time[1]",50.1678173353981,15,100,,,,,,,1,,,,,
"Fossil energy oil.Resource base",366.0888061,,,,,,,,,1,,,,,
"Fossil energy oil.sensitivity of effect of capital to fuel ratio on stranded capital[1]",0.82459244799401,0.5,5,,,,,,,1,,,,,
"Fossil energy oil.share of primary energy in fossil energy[1]",0.5,0.4,0.6,1,,,,,,,,,,,
"Fossil energy oil.share of thermal power in secondary fossil energy",0.35,,,,,,,,1,,,,,,
"Fossil energy oil.share of thermal powerplants that are cooled by rivers",0.702,,,,,,,,1,,,,,,
"Fossil energy oil.Slope of cost curve[1]",145414782322.463,70000000000,7000000000000,,,,,,,1,,,,,
"Fossil energy oil.TFP in 1980[1]",0.141258869,0.12,0.4,,,,,,,1,,,,,
"Fossil energy oil.TFP Max[1]",0.17,0.1,0.4,1,,,,,,1,,,,,
"Fossil energy oil.TFP Max Ramp Year[1]",2012.01775759512,2000,2200,,,,,,,1,,,,,
"Fossil energy oil.TFP Ramp Speed[1]",0.100284427165088,0,1,,,,,,,1,,,,,
"Fossil energy oil.TFP Slope Start[1]",1980.40980640034,1980,2010,,,,,,,1,,,,,
"Fossil energy oil.time to strand capital[1]",2,1,3,,,,,,,1,,,,,
"Nuclear energy.baseline nuclear energy capacity efficiency[1]",7.5,6.5,8.5,,,,,,,1,,,,,
"Nuclear energy.depreciation rate of Nuclear capital[1]",0.02,0,0.1,1,,,,,,,,,,,
"Nuclear energy.Floor Costs[1]",1610.17712052244,1000,3000,,,,,,,1,,,,,
"Nuclear energy.Initial Installation Costs[1]",2690.35149710682,500,3000,,,,,,,1,,,,,
"Nuclear energy.Initial Nuclear Capacity[1]",97.55917166,50,150,,,,,,,1,,,,,
"Nuclear energy.Learning Rate[1]",0.187056047987987,0.01,0.4,1,,,,,,1,,,,,
"Nuclear energy.share of thermal powerplants that are cooled by rivers[1]",0.702,,,,,,,,1,,,,,,
"Nuclear energy.stepping on toes parameter[1]",0.170413693291279,0.1,0.5,1,,,,,,1,,,,,
"Nuclear energy.time to perceive changes in construction[1]",1,0.5,5,1,,,,,,,,,,,
"Bio fuel energy.bio fuel primary energy content[1]",0.0000194444124741148,0.000001,0.0001,,,,,,,1,,,,,
"Bio fuel energy.depreciation rate of bio capital[1]",0.05,0,0.1,1,,,,,,,,,,,
"Bio fuel energy.Floor Costs[1]",2067408.17373183,1000000,1000000000,,,,,,,1,,,,,
"Bio fuel energy.Initial biofuel production Capacity[1]",5,0.001,10,,,,,,,1,,,,,
"Bio fuel energy.Initial Installation Costs[1]",1180011478.13519,100000000,100000000000,,,,,,,1,,,,,
"Bio fuel energy.Learning Rate[1]",0.0112324255608402,0.01,0.4,1,,,,,,1,,,,,
